time,yaw,pitch,roll,acc x,acc y,acc z
2019-06-26 15:34:50.540198,156.18,-77.55,-9.29,-4163,548,-1115
2019-06-26 15:34:50.560203,156.23,-77.50,-9.30,-4157,593,-1115
2019-06-26 15:34:50.580207,155.20,-77.88,-9.17,-4364,797,-961
2019-06-26 15:34:50.598211,154.92,-78.05,-9.23,-4157,545,-1279
2019-06-26 15:34:50.618216,155.13,-77.99,-9.27,-4179,377,-1153
2019-06-26 15:34:50.638220,155.19,-77.93,-9.28,-4150,463,-1136
2019-06-26 15:34:50.659225,155.20,-77.88,-9.29,-4142,494,-1127
2019-06-26 15:34:50.679229,155.18,-77.83,-9.30,-4135,514,-1127
2019-06-26 15:34:50.699234,155.16,-77.80,-9.30,-4139,535,-1118
2019-06-26 15:34:50.720239,155.16,-77.76,-9.32,-4143,533,-1124
2019-06-26 15:34:50.740244,155.11,-77.73,-9.33,-4139,529,-1123
2019-06-26 15:34:50.757249,155.07,-77.70,-9.33,-4127,544,-1124
2019-06-26 15:34:50.778252,154.64,-77.83,-9.28,-4349,724,-1105
2019-06-26 15:34:50.798257,154.62,-77.86,-9.33,-4245,469,-1187
2019-06-26 15:34:50.818261,154.74,-77.79,-9.37,-4193,464,-1145
2019-06-26 15:34:50.839277,154.72,-77.75,-9.36,-4174,536,-1105
2019-06-26 15:34:50.859280,154.79,-77.70,-9.38,-4151,511,-1110
2019-06-26 15:34:50.880286,154.82,-77.66,-9.39,-4136,529,-1108
2019-06-26 15:34:50.900290,154.80,-77.63,-9.39,-4140,542,-1120
2019-06-26 15:34:50.920295,154.81,-77.59,-9.40,-4140,541,-1121
2019-06-26 15:34:50.937299,154.79,-77.56,-9.41,-4124,542,-1137
2019-06-26 15:34:50.958303,154.76,-77.55,-9.41,-4129,540,-1146
2019-06-26 15:34:50.978307,154.72,-77.53,-9.42,-4123,533,-1142
2019-06-26 15:34:50.998315,154.62,-77.52,-9.43,-4129,539,-1152
2019-06-26 15:34:51.019317,154.57,-77.51,-9.44,-4130,538,-1155
2019-06-26 15:34:51.039321,154.44,-77.51,-9.44,-4133,535,-1148
2019-06-26 15:34:51.060326,154.37,-77.50,-9.45,-4132,535,-1158
2019-06-26 15:34:51.080330,154.35,-77.49,-9.45,-4142,539,-1162
2019-06-26 15:34:51.100338,154.25,-77.48,-9.46,-4135,544,-1139
2019-06-26 15:34:51.117342,154.20,-77.46,-9.46,-4136,540,-1136
2019-06-26 15:34:51.138342,154.13,-77.45,-9.47,-4122,541,-1142
2019-06-26 15:34:51.158348,154.11,-77.44,-9.48,-4126,531,-1146
2019-06-26 15:34:51.179353,154.04,-77.42,-9.48,-4129,534,-1165
2019-06-26 15:34:51.199357,154.02,-77.40,-9.49,-4130,538,-1147
2019-06-26 15:34:51.220362,153.95,-77.38,-9.49,-4129,538,-1152
2019-06-26 15:34:51.240367,153.94,-77.36,-9.50,-4118,539,-1142
2019-06-26 15:34:51.260371,153.90,-77.34,-9.51,-4121,541,-1146
